Temps;Nombre
3.625599;1
4.295701;2
4.711245;1
5.986829;2
6.667807;1
7.717303;0
12.242491;1
14.737783;2
15.105081;3
16.267667;2
18.036662;1
18.047054;2
21.769039;1
28.542338;0
41.353963;1
41.500718;0
46.078766;1
47.350421;0
52.708424;1
55.996202;2
56.809170;1
59.077434;0
66.183403;1
71.548408;2
72.672693;1
82.297516;2
82.781433;1
83.169598;0
86.718219;1
89.033321;2
90.091651;3
92.223319;2
93.384251;1
93.466308;0
99.020367;1
99.696013;0
105.385807;1
110.614832;2
110.956418;3
111.156273;2
113.214578;1
114.016960;2
114.265298;3
116.715452;4
116.855394;3
117.555344;2
119.816290;3
124.662486;4
125.166451;5
126.856015;4
128.123146;5
128.140038;4
129.660166;3
135.441656;2
141.004385;1
145.940810;2
148.092878;1
153.144814;0
155.671366;1
158.338799;2
159.579013;1
160.295744;2
162.273297;3
162.976227;4
165.697728;3
168.499137;4
168.644957;3
169.325948;2
171.610651;1
172.717526;2
173.203723;1
174.672767;0
178.756623;1
179.862256;0
;
Nb Moyen : 1.244341 ;
;
;
Tps Moyen: 5.926988 ;
