

 Arrivee               Departs  
2.756497  		4.137613 
3.655911  		8.980637 
8.866186  		12.677133 
9.436320  		15.789197 
15.009675  		17.556956 
19.467283  		19.693295 
21.470339  		22.623434 
22.735071  		26.745460 
25.579831  		29.265851 
28.206063  		32.806276 
35.068308  		40.836788 
40.651546  		41.394878 
43.973896  		52.074376 
58.349456  		61.049788 
59.120422  		66.934875 
59.252942  		75.561722 
65.120659  		81.976082 
74.248731  		87.064423 
87.234263  		96.668452 
88.198501  		96.746721 
88.979488  		96.942135 
93.654448  		99.569688 
95.320294  		99.896544 
97.107717  		111.999323 
98.698433  		126.829466 
110.105739  		127.525317 
111.571581  		128.066320 
112.718895  		128.676931 
114.598860  		131.488735 
116.130377  		135.708888 
116.380748  		138.408097 
124.185704  		139.348265 
125.731199  		144.982764 
126.584200  		152.065038 
126.774500  		154.200504 
127.933053  		154.307730 
138.849334  		157.272517 
155.793898  		158.569372 
159.866032  		161.531845 
166.270629  		169.050366 
169.122742  		175.414660 
174.833434  		177.610573 



 Evolution 

Temps    			 Nombre
2.756497 			 1
3.655911 			 2
4.137613 			 1
8.866186 			 2
8.980637 			 1
9.436320 			 2
12.677133 			 1
15.009675 			 2
15.789197 			 1
17.556956 			 0
19.467283 			 1
19.693295 			 0
21.470339 			 1
22.623434 			 0
22.735071 			 1
25.579831 			 2
26.745460 			 1
28.206063 			 2
29.265851 			 1
32.806276 			 0
35.068308 			 1
40.651546 			 2
40.836788 			 1
41.394878 			 0
43.973896 			 1
52.074376 			 0
58.349456 			 1
59.120422 			 2
59.252942 			 3
61.049788 			 2
65.120659 			 3
66.934875 			 2
74.248731 			 3
75.561722 			 2
81.976082 			 1
87.064423 			 0
87.234263 			 1
88.198501 			 2
88.979488 			 3
93.654448 			 4
95.320294 			 5
96.668452 			 4
96.746721 			 3
96.942135 			 2
97.107717 			 3
98.698433 			 4
99.569688 			 3
99.896544 			 2
110.105739 			 3
111.571581 			 4
111.999323 			 3
112.718895 			 4
114.598860 			 5
116.130377 			 6
116.380748 			 7
124.185704 			 8
125.731199 			 9
126.584200 			 10
126.774500 			 11
126.829466 			 10
127.525317 			 9
127.933053 			 10
128.066320 			 9
128.676931 			 8
131.488735 			 7
135.708888 			 6
138.408097 			 5
138.849334 			 6
139.348265 			 5
144.982764 			 4
152.065038 			 3
154.200504 			 2
154.307730 			 1
155.793898 			 2
157.272517 			 1
158.569372 			 0
159.866032 			 1
161.531845 			 0
166.270629 			 1
169.050366 			 0
169.122742 			 1
174.833434 			 2
175.414660 			 1
177.610573 			 0





Nb Moyen : 2.518877 


Tps Moyen: 10.486567 

